#Run Subrun PIN RMS
#------------------
109798  48  1206 181.18
109798  49  1208 180.62
109798  50  1209 180.73
109798  51  1209 180.28
109798  52  1211 179.47
109798  53  1206 180.72
109798  54  1209 179.98
109798  55  1209 181.68
109798  56  1208 179.91
109798  57  1209 181.18
109798  58  1209 179.62
109798  59  1213 181.72
109798  60  1210 179.67
109798  61  1207 179.96
109798  62  1212 179.89
109798  63  1206 180.23
109798  64  1209 180.47
109798  65  1212 180.84
109798  66  1209 179.31
109798  67  1204 180.37
109798  68  1208 178.97
109798  69  1208 179.80
109798  70  1205 180.32
109798  71  1210 181.31
109798  72  1211 180.06
109798  73  1210 179.45
109798  74  1206 181.10
109798  75  1206 180.38
109798  76  1205 180.63
109798  77  1209 179.88
109798  78  1211 181.41
109798  79  1210 179.99
109798  80  1208 180.67
109798  81  1209 180.75
109798  82  1211 181.41
109798  83  1209 179.75
109798  84  1207 180.69
109798  85  1207 180.71
109798  86  1209 179.95
109798  87  1207 180.73
109798  88  1210 179.72
109798  89  1208 179.59
109798  90  1205 180.78
109798  91  1211 180.95
109798  92  1209 180.97
109798  93  1209 179.42
109798  94  1205 180.26
109798  95  1210 178.99
109798  96  1210 179.60
109798  97  1208 179.73
109798  98  1214 180.04
109798  99  1220 180.46
109798 100  1211 180.26
109798 101  1216 181.57
109798 102  1210 181.48
109798 103  1208 180.67
109798 104  1212 180.98
109798 105  1214 179.87
109798 106  1211 179.51
109798 107  1211 180.75
109798 108  1209 179.26
109798 109  1212 180.91
109798 110  1209 180.44
109798 111  1212 180.77
109798 112  1211 178.29
109798 113  1213 181.05
109798 114  1213 179.50
109798 115  1211 180.25
109798 116  1212 180.75
109798 117  1211 179.98
109798 118  1209 180.74
109798 119  1208 179.87
109798 120  1213 180.14
109798 121  1208 182.23
109798 122  1212 180.37
109798 123  1215 179.98
109798 124  1212 181.00
109798 125  1212 180.38
109798 126  1212 181.35
109798 127  1210 180.61
109798 128  1215 179.64
109798 129  1211 179.82
109798 130  1210 180.13
109798 131  1209 180.63
109798 132  1212 179.84
109798 133  1213 180.26
109798 134  1215 182.38
109798 135  1212 180.13
109798 136  1211 179.90
109798 137  1212 180.39
109798 138  1212 179.34
109798 139  1215 178.97
109798 140  1213 179.68
109798 141  1212 180.58
109798 142  1212 180.18
109798 143  1212 178.17
109798 144  1210 179.88
109798 145  1210 179.66
109798 146  1206 180.22
109798 147  1212 179.98
109798 148  1210 181.09
109798 149  1212 180.30
109798 150  1211 180.40
109798 151  1209 181.03
109798 152  1210 180.08
109798 153  1213 178.68
109798 154  1209 179.65
109798 155  1212 180.19
109798 156  1210 180.78
109798 157  1210 179.94
